name,class,category,input_shape,output_shape,direct_params,direct_trainable_params,approx_macs,details
backbone.input_stem.op_list.0.conv,Conv2d,Conv2d,"[[1, 3, 224, 224]]","[1, 16, 112, 112]",432,432,5419008,"in=3, out=16, k=(3, 3), stride=(2, 2), groups=1, bias=False"
backbone.input_stem.op_list.0.norm,BatchNorm2d,Normalization,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",32,32,,
backbone.input_stem.op_list.0.act,Hardswish,Activation,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",0,0,,
backbone.input_stem.op_list.1.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",144,144,1806336,"in=16, out=16, k=(3, 3), stride=(1, 1), groups=16, bias=False"
backbone.input_stem.op_list.1.main.depth_conv.norm,BatchNorm2d,Normalization,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",32,32,,
backbone.input_stem.op_list.1.main.depth_conv.act,Hardswish,Activation,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",0,0,,
backbone.input_stem.op_list.1.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",256,256,3211264,"in=16, out=16, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.input_stem.op_list.1.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",32,32,,
backbone.input_stem.op_list.1.shortcut,IdentityLayer,IdentityLayer,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",0,0,,
backbone.input_stem.op_list.1,ResidualBlock,Residual block,"[[1, 16, 112, 112]]","[1, 16, 112, 112]",0,0,,
backbone.stages.0.op_list.0.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 16, 112, 112]]","[1, 64, 112, 112]",1024,1024,12845056,"in=16, out=64, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.0.op_list.0.main.inverted_conv.norm,BatchNorm2d,Normalization,"[[1, 64, 112, 112]]","[1, 64, 112, 112]",128,128,,
backbone.stages.0.op_list.0.main.inverted_conv.act,Hardswish,Activation,"[[1, 64, 112, 112]]","[1, 64, 112, 112]",0,0,,
backbone.stages.0.op_list.0.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 64, 112, 112]]","[1, 64, 56, 56]",576,576,1806336,"in=64, out=64, k=(3, 3), stride=(2, 2), groups=64, bias=False"
backbone.stages.0.op_list.0.main.depth_conv.norm,BatchNorm2d,Normalization,"[[1, 64, 56, 56]]","[1, 64, 56, 56]",128,128,,
backbone.stages.0.op_list.0.main.depth_conv.act,Hardswish,Activation,"[[1, 64, 56, 56]]","[1, 64, 56, 56]",0,0,,
backbone.stages.0.op_list.0.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 64, 56, 56]]","[1, 32, 56, 56]",2048,2048,6422528,"in=64, out=32, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.0.op_list.0.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 32, 56, 56]]","[1, 32, 56, 56]",64,64,,
backbone.stages.0.op_list.0.main,MBConv,MBConv block,"[[1, 16, 112, 112]]","[1, 32, 56, 56]",0,0,,
backbone.stages.0.op_list.0,ResidualBlock,Residual block,"[[1, 16, 112, 112]]","[1, 32, 56, 56]",0,0,,
backbone.stages.0.op_list.1.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 32, 56, 56]]","[1, 128, 56, 56]",4096,4096,12845056,"in=32, out=128, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.0.op_list.1.main.inverted_conv.norm,BatchNorm2d,Normalization,"[[1, 128, 56, 56]]","[1, 128, 56, 56]",256,256,,
backbone.stages.0.op_list.1.main.inverted_conv.act,Hardswish,Activation,"[[1, 128, 56, 56]]","[1, 128, 56, 56]",0,0,,
backbone.stages.0.op_list.1.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 128, 56, 56]]","[1, 128, 56, 56]",1152,1152,3612672,"in=128, out=128, k=(3, 3), stride=(1, 1), groups=128, bias=False"
backbone.stages.0.op_list.1.main.depth_conv.norm,BatchNorm2d,Normalization,"[[1, 128, 56, 56]]","[1, 128, 56, 56]",256,256,,
backbone.stages.0.op_list.1.main.depth_conv.act,Hardswish,Activation,"[[1, 128, 56, 56]]","[1, 128, 56, 56]",0,0,,
backbone.stages.0.op_list.1.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 128, 56, 56]]","[1, 32, 56, 56]",4096,4096,12845056,"in=128, out=32, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.0.op_list.1.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 32, 56, 56]]","[1, 32, 56, 56]",64,64,,
backbone.stages.0.op_list.1.main,MBConv,MBConv block,"[[1, 32, 56, 56]]","[1, 32, 56, 56]",0,0,,
backbone.stages.0.op_list.1.shortcut,IdentityLayer,IdentityLayer,"[[1, 32, 56, 56]]","[1, 32, 56, 56]",0,0,,
backbone.stages.0.op_list.1,ResidualBlock,Residual block,"[[1, 32, 56, 56]]","[1, 32, 56, 56]",0,0,,
backbone.stages.1.op_list.0.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 32, 56, 56]]","[1, 128, 56, 56]",4096,4096,12845056,"in=32, out=128, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.1.op_list.0.main.inverted_conv.norm,BatchNorm2d,Normalization,"[[1, 128, 56, 56]]","[1, 128, 56, 56]",256,256,,
backbone.stages.1.op_list.0.main.inverted_conv.act,Hardswish,Activation,"[[1, 128, 56, 56]]","[1, 128, 56, 56]",0,0,,
backbone.stages.1.op_list.0.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 128, 56, 56]]","[1, 128, 28, 28]",1152,1152,903168,"in=128, out=128, k=(3, 3), stride=(2, 2), groups=128, bias=False"
backbone.stages.1.op_list.0.main.depth_conv.norm,BatchNorm2d,Normalization,"[[1, 128, 28, 28]]","[1, 128, 28, 28]",256,256,,
backbone.stages.1.op_list.0.main.depth_conv.act,Hardswish,Activation,"[[1, 128, 28, 28]]","[1, 128, 28, 28]",0,0,,
backbone.stages.1.op_list.0.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 128, 28, 28]]","[1, 64, 28, 28]",8192,8192,6422528,"in=128, out=64, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.1.op_list.0.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",128,128,,
backbone.stages.1.op_list.0.main,MBConv,MBConv block,"[[1, 32, 56, 56]]","[1, 64, 28, 28]",0,0,,
