name,class,category,approx_non_mac_ops,non_mac_breakdown
backbone.input_stem.op_list.0.conv,Conv2d,Conv2d,0,{}
backbone.input_stem.op_list.0.norm,BatchNorm2d,Normalization,802848,"{""add"": 401424, ""div"": 200704, ""mul"": 200704, ""sqrt"": 16}"
backbone.input_stem.op_list.0.act,Hardswish,Activation,1003520,"{""add"": 200704, ""compare"": 401408, ""div"": 200704, ""mul"": 200704}"
backbone.input_stem.op_list.1.main.depth_conv.conv,Conv2d,Depthwise Conv2d,0,{}
backbone.input_stem.op_list.1.main.depth_conv.norm,BatchNorm2d,Normalization,802848,"{""add"": 401424, ""div"": 200704, ""mul"": 200704, ""sqrt"": 16}"
backbone.input_stem.op_list.1.main.depth_conv.act,Hardswish,Activation,1003520,"{""add"": 200704, ""compare"": 401408, ""div"": 200704, ""mul"": 200704}"
backbone.input_stem.op_list.1.main.point_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.input_stem.op_list.1.main.point_conv.norm,BatchNorm2d,Normalization,802848,"{""add"": 401424, ""div"": 200704, ""mul"": 200704, ""sqrt"": 16}"
backbone.input_stem.op_list.1.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.input_stem.op_list.1,ResidualBlock,Residual block,200704,"{""add"": 200704}"
backbone.stages.0.op_list.0.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.0.op_list.0.main.inverted_conv.norm,BatchNorm2d,Normalization,3211392,"{""add"": 1605696, ""div"": 802816, ""mul"": 802816, ""sqrt"": 64}"
backbone.stages.0.op_list.0.main.inverted_conv.act,Hardswish,Activation,4014080,"{""add"": 802816, ""compare"": 1605632, ""div"": 802816, ""mul"": 802816}"
backbone.stages.0.op_list.0.main.depth_conv.conv,Conv2d,Depthwise Conv2d,0,{}
backbone.stages.0.op_list.0.main.depth_conv.norm,BatchNorm2d,Normalization,802944,"{""add"": 401472, ""div"": 200704, ""mul"": 200704, ""sqrt"": 64}"
backbone.stages.0.op_list.0.main.depth_conv.act,Hardswish,Activation,1003520,"{""add"": 200704, ""compare"": 401408, ""div"": 200704, ""mul"": 200704}"
backbone.stages.0.op_list.0.main.point_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.0.op_list.0.main.point_conv.norm,BatchNorm2d,Normalization,401472,"{""add"": 200736, ""div"": 100352, ""mul"": 100352, ""sqrt"": 32}"
backbone.stages.0.op_list.0.main,MBConv,MBConv block,0,{}
backbone.stages.0.op_list.0,ResidualBlock,Residual block,0,{}
backbone.stages.0.op_list.1.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.0.op_list.1.main.inverted_conv.norm,BatchNorm2d,Normalization,1605888,"{""add"": 802944, ""div"": 401408, ""mul"": 401408, ""sqrt"": 128}"
backbone.stages.0.op_list.1.main.inverted_conv.act,Hardswish,Activation,2007040,"{""add"": 401408, ""compare"": 802816, ""div"": 401408, ""mul"": 401408}"
backbone.stages.0.op_list.1.main.depth_conv.conv,Conv2d,Depthwise Conv2d,0,{}
backbone.stages.0.op_list.1.main.depth_conv.norm,BatchNorm2d,Normalization,1605888,"{""add"": 802944, ""div"": 401408, ""mul"": 401408, ""sqrt"": 128}"
backbone.stages.0.op_list.1.main.depth_conv.act,Hardswish,Activation,2007040,"{""add"": 401408, ""compare"": 802816, ""div"": 401408, ""mul"": 401408}"
backbone.stages.0.op_list.1.main.point_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.0.op_list.1.main.point_conv.norm,BatchNorm2d,Normalization,401472,"{""add"": 200736, ""div"": 100352, ""mul"": 100352, ""sqrt"": 32}"
backbone.stages.0.op_list.1.main,MBConv,MBConv block,0,{}
backbone.stages.0.op_list.1.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.0.op_list.1,ResidualBlock,Residual block,100352,"{""add"": 100352}"
backbone.stages.1.op_list.0.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.1.op_list.0.main.inverted_conv.norm,BatchNorm2d,Normalization,1605888,"{""add"": 802944, ""div"": 401408, ""mul"": 401408, ""sqrt"": 128}"
backbone.stages.1.op_list.0.main.inverted_conv.act,Hardswish,Activation,2007040,"{""add"": 401408, ""compare"": 802816, ""div"": 401408, ""mul"": 401408}"
backbone.stages.1.op_list.0.main.depth_conv.conv,Conv2d,Depthwise Conv2d,0,{}
backbone.stages.1.op_list.0.main.depth_conv.norm,BatchNorm2d,Normalization,401664,"{""add"": 200832, ""div"": 100352, ""mul"": 100352, ""sqrt"": 128}"
backbone.stages.1.op_list.0.main.depth_conv.act,Hardswish,Activation,501760,"{""add"": 100352, ""compare"": 200704, ""div"": 100352, ""mul"": 100352}"
backbone.stages.1.op_list.0.main.point_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.1.op_list.0.main.point_conv.norm,BatchNorm2d,Normalization,200832,"{""add"": 100416, ""div"": 50176, ""mul"": 50176, ""sqrt"": 64}"
backbone.stages.1.op_list.0.main,MBConv,MBConv block,0,{}
backbone.stages.1.op_list.0,ResidualBlock,Residual block,0,{}
