module,operation,macs,left_zero_macs,right_zero_macs,both_zero_macs,skippable_macs,nonzero_product_macs,padding_macs,skippable_percent,skippable_excluding_padding
backbone.input_stem.op_list.0.conv,conv,10838016,0,64416,0,64416,10773600,64416,0.5943523242630385,0
backbone.input_stem.op_list.1.main.depth_conv.conv,conv,3612672,0,67643,0,67643,3545029,42880,1.8723814395549887,24763
backbone.input_stem.op_list.1.main.point_conv.conv,conv,6422528,0,179760,0,179760,6242768,0,2.7988978794642856,179760
backbone.stages.0.op_list.0.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.0.op_list.0.main.depth_conv.conv,conv,3612672,0,183414,0,183414,3429258,42880,5.076962425595238,140534
backbone.stages.0.op_list.0.main.point_conv.conv,conv,12845056,0,458720,0,458720,12386336,0,3.571179448341837,458720
backbone.stages.0.op_list.1.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.0.op_list.1.main.depth_conv.conv,conv,7225344,0,463386,0,463386,6761958,171008,6.4133417038690474,292378
backbone.stages.0.op_list.1.main.point_conv.conv,conv,25690112,0,1823200,0,1823200,23866912,0,7.0968939333545915,1823200
backbone.stages.1.op_list.0.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.1.op_list.0.main.depth_conv.conv,conv,1806336,0,127753,0,127753,1678583,42752,7.072493711026077,85001
backbone.stages.1.op_list.0.main.point_conv.conv,conv,12845056,0,104000,0,104000,12741056,0,0.8096500318877551,104000
backbone.stages.1.op_list.1.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.1.op_list.1.main.depth_conv.conv,conv,3612672,0,260019,0,260019,3352653,169984,7.197415098852041,90035
backbone.stages.1.op_list.1.main.point_conv.conv,conv,25690112,0,402880,0,402880,25287232,0,1.5682298309948979,402880
backbone.stages.1.op_list.2.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.1.op_list.2.main.depth_conv.conv,conv,3612672,0,314464,0,314464,3298208,169984,8.704471371882086,144480
backbone.stages.1.op_list.2.main.point_conv.conv,conv,25690112,0,187008,0,187008,25503104,0,0.7279376594387755,187008
backbone.stages.2.op_list.0.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.2.op_list.0.main.depth_conv.conv,conv,903168,0,55540,0,55540,847628,42496,6.1494649943310655,13044
backbone.stages.2.op_list.0.main.point_conv.conv,conv,12845056,0,0,0,0,12845056,0,0.0,0
backbone.stages.2.op_list.1.context_module.main.qkv.conv,conv,19267584,0,0,0,0,19267584,0,0.0,0
backbone.stages.2.op_list.1.context_module.main.aggreg.0.0,conv,3763200,0,617472,0,617472,3145728,617472,16.408163265306122,0
backbone.stages.2.op_list.1.context_module.main.aggreg.0.1,conv,2408448,0,0,0,0,2408448,0,0.0,0
backbone.stages.2.op_list.1.context_module.main,Vpad_Kt,1705984,0,1046299,0,1046299,659685,0,61.33111447704081,1046299
backbone.stages.2.op_list.1.context_module.main,VK_Q,1705984,43316,680289,23069,700536,1005448,0,41.063456632653065,700536
backbone.stages.2.op_list.1.context_module.main.proj.conv,conv,12845056,0,0,0,0,12845056,0,0.0,0
