path,sha256,instrumented_seconds,predicted_class,macs,skippable_macs,skippable_percent
D:\Master Thesis\Datasets\imagenette2-320\val\n03888257\n03888257_7960.JPEG,223ccdebbaca459fe3d5a5ee898db81793bd20b9c5fe78672cfdea28ff756f24,0.7502297000028193,701,519214592,10163246,1.9574268821782266
D:\Master Thesis\Datasets\imagenette2-320\val\n03425413\n03425413_8412.JPEG,ad113b4db0b8bc409ad0a10dc263d69a688160ab2afda66fd551eefa7f541fe2,0.6445590000002994,571,519214592,11606009,2.235301006332272
D:\Master Thesis\Datasets\imagenette2-320\val\n03417042\n03417042_13151.JPEG,f3a170d4f2fd36ff5e7f9de60aa4222e7c735558f944288203f978a6be65868a,0.6763642000005348,569,519214592,11032637,2.1248703657388734
D:\Master Thesis\Datasets\imagenette2-320\val\n02102040\n02102040_1771.JPEG,0ac8f00eae230a49b9dda8ec5aed85292b652639ad0c9288ae9f894fe7ced735,0.63843800000177,217,519214592,10510535,2.024314255020013
D:\Master Thesis\Datasets\imagenette2-320\val\n03425413\n03425413_13582.JPEG,cb5d6f883a069c04e7589be46fe66e0b59adb442afbc79f4eb01e156533c66d0,0.6754461000018637,571,519214592,10956747,2.110254058499188
D:\Master Thesis\Datasets\imagenette2-320\val\n03445777\n03445777_9340.JPEG,f80424cd445436688d93bc67d55ba1703021d57b60879376f08f97c59bd47cc2,0.658489900000859,574,519214592,11611254,2.236311185953726
D:\Master Thesis\Datasets\imagenette2-320\val\n03425413\n03425413_22092.JPEG,18bbf59bb42d6326fd5b9dc615ad494ed3cd666788bf282fd26d5f8964f8c2cd,0.7006702999933623,571,519214592,11291318,2.1746919624323655
D:\Master Thesis\Datasets\imagenette2-320\val\n02102040\n02102040_390.JPEG,fb254f5e21a070f947ab0a95d81f09f3096ae26efd49f83fe1fb082e1eb95828,0.6528341000012006,217,519214592,11358454,2.187622261586978
D:\Master Thesis\Datasets\imagenette2-320\val\n03028079\n03028079_8661.JPEG,854145d0147b8511494a31ae0c181e45b210bbe41fe9847ff6f6f7151b1f89c2,0.6900722999998834,497,519214592,11481895,2.2113968245330056
D:\Master Thesis\Datasets\imagenette2-320\val\n03888257\n03888257_22061.JPEG,2735a22122d040c79f879a8cd0911e00cb5b0680a9b7579353aa9642111094b3,0.6715719000058016,701,519214592,11690907,2.2516522416997096
D:\Master Thesis\Datasets\imagenette2-320\val\n02102040\n02102040_2991.JPEG,9ad72433fb75d667a9ca748df64c4dd3229172abe459bef4314612a803629cbb,2.274478600003931,217,519214592,10932942,2.105669248987517
D:\Master Thesis\Datasets\imagenette2-320\val\n03445777\n03445777_602.JPEG,db5d1076ae90c2532848a98378942ada0e28830a8d7ebaba0590d261eeb55292,0.7009805000052438,574,519214592,10680471,2.057043689557939
D:\Master Thesis\Datasets\imagenette2-320\val\n03000684\n03000684_11241.JPEG,28a0ace6c52a634d00437de2d9da6a6199baee973fed80973c9f05ab21357e0e,0.6652882999987924,491,519214592,10612089,2.043873412556171
D:\Master Thesis\Datasets\imagenette2-320\val\n02102040\n02102040_1430.JPEG,4386c909e4d878a04b98339395ed44ae4e3cb1ee06ab6bf8c3cc3057f67dd32a,0.6412162000051467,217,519214592,10899006,2.0991332231279047
D:\Master Thesis\Datasets\imagenette2-320\val\n03028079\n03028079_53111.JPEG,4150cdd6a3d807b8054622b23d4f08c838ccd0e168f7f1043c56746d6fc72679,0.6914747999981046,497,519214592,11452786,2.2057904720828803
D:\Master Thesis\Datasets\imagenette2-320\val\n03445777\n03445777_5861.JPEG,2d8822ad15f52403060408483ad4904c1ea07923f6f8e0df30859a6a3fdff917,0.6536494999963907,574,519214592,10852871,2.0902476870295663
D:\Master Thesis\Datasets\imagenette2-320\val\n03425413\n03425413_19050.JPEG,2824f607749c59d44d0b942e141d985423c06b7d3025247ba290762cd0e0986f,0.6740314000053331,866,519214592,11429698,2.20134375576255
D:\Master Thesis\Datasets\imagenette2-320\val\n03394916\n03394916_32272.JPEG,7c572e75dc5820f5d8d6a2bcb554862983d146a14e77a91493f3d35bdbfebea1,0.6670369999992545,566,519214592,10776183,2.075477686112489
D:\Master Thesis\Datasets\imagenette2-320\val\n03445777\n03445777_490.JPEG,31c3f15de13e3e45af09f5bb3a822f08e5e102cad9f4e3d8623b5f7dcdde3ffb,0.6946555999966222,574,519214592,9829827,1.8932108518244417
D:\Master Thesis\Datasets\imagenette2-320\val\n02102040\n02102040_7130.JPEG,4093722de4f0d6558d1833a2f6c5a1438ffaddbcdb4f6512a643bca4b41a5b92,0.7152888999989955,217,519214592,10381414,1.9994457320644794
D:\Master Thesis\Datasets\imagenette2-320\val\n03417042\n03417042_652.JPEG,d6ebef92321786cebcd9271f70f54c887e938b251ad3ba9ec2e6a9d4b91516ff,0.6795917999988887,569,519214592,11333494,2.1828150007001343
D:\Master Thesis\Datasets\imagenette2-320\val\n03417042\n03417042_642.JPEG,314c17b818cea47134573dbd15321535b3c4f19b8c171b02e9ab25cbe25f7dfd,0.6869003999963752,569,519214592,11135983,2.144774659954087
D:\Master Thesis\Datasets\imagenette2-320\val\n03425413\n03425413_14612.JPEG,ae0ed7298c5a6319fe5870539f5a7e3e073c376ebdb969c0d739e7eb52d20561,0.6625693000023603,571,519214592,11085164,2.134986992045093
D:\Master Thesis\Datasets\imagenette2-320\val\n03000684\n03000684_36420.JPEG,26959d32ca3b4b4ae2bc3666cda1d54ce44c832c17580520188315006a7230b1,0.6721493999939412,491,519214592,10313030,1.986275069865525
D:\Master Thesis\Datasets\imagenette2-320\val\n03028079\n03028079_3192.JPEG,47b203eeab6b734fce7d8e5a5ab682d9ecfdacf4c5e18ec93d0d0cdbcc3be6d3,0.669235999994271,442,519214592,11107995,2.1393842105269645
