module,role,elements,zeros,blocks,zero_blocks,block_tail_elements,channels,zero_channels,positions,zero_positions,zero_percent,zero_block_percent
backbone.input_stem.op_list.0.conv,input,3763200,0,235200,0,0,75,0,1254400,0,0.0,0.0
backbone.input_stem.op_list.0.conv,output,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.input_stem.op_list.0.norm,input,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.input_stem.op_list.0.norm,output,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.input_stem.op_list.0.act,input,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.input_stem.op_list.0.act,output,5017600,48215,313600,624,0,400,0,313600,0,0.9609175701530612,0.1989795918367347
backbone.input_stem.op_list.1.main.depth_conv.conv,input,5017600,48215,313600,624,0,400,0,313600,0,0.9609175701530612,0.1989795918367347
backbone.input_stem.op_list.1.main.depth_conv.conv,output,5017600,12213,313600,386,0,400,0,313600,0,0.2434032206632653,0.12308673469387756
backbone.input_stem.op_list.1.main.depth_conv.norm,input,5017600,12213,313600,386,0,400,0,313600,0,0.2434032206632653,0.12308673469387756
backbone.input_stem.op_list.1.main.depth_conv.norm,output,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.input_stem.op_list.1.main.depth_conv.act,input,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.input_stem.op_list.1.main.depth_conv.act,output,5017600,155054,313600,2624,0,400,0,313600,0,3.090202487244898,0.8367346938775511
backbone.input_stem.op_list.1.main.point_conv.conv,input,5017600,155054,313600,2624,0,400,0,313600,0,3.090202487244898,0.8367346938775511
backbone.input_stem.op_list.1.main.point_conv.conv,output,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.input_stem.op_list.1.main.point_conv.norm,input,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.input_stem.op_list.1.main.point_conv.norm,output,5017600,2,313600,0,0,400,0,313600,0,3.985969387755102e-05,0.0
backbone.input_stem.op_list.1.shortcut,input,5017600,48215,313600,624,0,400,0,313600,0,0.9609175701530612,0.1989795918367347
backbone.input_stem.op_list.1.shortcut,output,5017600,48215,313600,624,0,400,0,313600,0,0.9609175701530612,0.1989795918367347
backbone.input_stem.op_list.1,input,5017600,48215,313600,624,0,400,0,313600,0,0.9609175701530612,0.1989795918367347
backbone.input_stem.op_list.1,output,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.conv,input,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.conv,output,20070400,0,1254400,0,0,1600,0,313600,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.norm,input,20070400,0,1254400,0,0,1600,0,313600,0,0.0,0.0
backbone.stages.0.op_list.0.main.inverted_conv.norm,output,20070400,1,1254400,0,0,1600,0,313600,0,4.982461734693877e-06,0.0
backbone.stages.0.op_list.0.main.inverted_conv.act,input,20070400,1,1254400,0,0,1600,0,313600,0,4.982461734693877e-06,0.0
backbone.stages.0.op_list.0.main.inverted_conv.act,output,20070400,1180324,1254400,3787,0,1600,0,313600,0,5.880919164540816,0.30189732142857145
backbone.stages.0.op_list.0.main.depth_conv.conv,input,20070400,1180324,1254400,3787,0,1600,0,313600,0,5.880919164540816,0.30189732142857145
backbone.stages.0.op_list.0.main.depth_conv.conv,output,5017600,18781,313600,354,0,1600,0,78400,0,0.37430245535714285,0.11288265306122448
backbone.stages.0.op_list.0.main.depth_conv.norm,input,5017600,18781,313600,354,0,1600,0,78400,0,0.37430245535714285,0.11288265306122448
backbone.stages.0.op_list.0.main.depth_conv.norm,output,5017600,0,313600,0,0,1600,0,78400,0,0.0,0.0
backbone.stages.0.op_list.0.main.depth_conv.act,input,5017600,0,313600,0,0,1600,0,78400,0,0.0,0.0
backbone.stages.0.op_list.0.main.depth_conv.act,output,5017600,288296,313600,685,0,1600,0,78400,0,5.745695153061225,0.21843112244897958
backbone.stages.0.op_list.0.main.point_conv.conv,input,5017600,288296,313600,685,0,1600,0,78400,0,5.745695153061225,0.21843112244897958
backbone.stages.0.op_list.0.main.point_conv.conv,output,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.0.main.point_conv.norm,input,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.0.main.point_conv.norm,output,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.0,input,5017600,0,313600,0,0,400,0,313600,0,0.0,0.0
backbone.stages.0.op_list.0,output,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.inverted_conv.conv,input,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.inverted_conv.conv,output,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.inverted_conv.norm,input,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.inverted_conv.norm,output,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.inverted_conv.act,input,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.inverted_conv.act,output,10035200,622592,627200,1563,0,3200,0,78400,0,6.204081632653061,0.24920280612244897
backbone.stages.0.op_list.1.main.depth_conv.conv,input,10035200,622592,627200,1563,0,3200,0,78400,0,6.204081632653061,0.24920280612244897
backbone.stages.0.op_list.1.main.depth_conv.conv,output,10035200,61114,627200,295,0,3200,0,78400,0,0.6089963329081632,0.0470344387755102
backbone.stages.0.op_list.1.main.depth_conv.norm,input,10035200,61114,627200,295,0,3200,0,78400,0,0.6089963329081632,0.0470344387755102
backbone.stages.0.op_list.1.main.depth_conv.norm,output,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.depth_conv.act,input,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.depth_conv.act,output,10035200,705335,627200,2113,0,3200,0,78400,0,7.028609295280612,0.33689413265306123
backbone.stages.0.op_list.1.main.point_conv.conv,input,10035200,705335,627200,2113,0,3200,0,78400,0,7.028609295280612,0.33689413265306123
backbone.stages.0.op_list.1.main.point_conv.conv,output,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.point_conv.norm,input,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.main.point_conv.norm,output,2508800,1,156800,0,0,800,0,78400,0,3.985969387755102e-05,0.0
backbone.stages.0.op_list.1.shortcut,input,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1.shortcut,output,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1,input,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.0.op_list.1,output,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.1.op_list.0.main.inverted_conv.conv,input,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.1.op_list.0.main.inverted_conv.conv,output,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.1.op_list.0.main.inverted_conv.norm,input,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.1.op_list.0.main.inverted_conv.norm,output,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.1.op_list.0.main.inverted_conv.act,input,10035200,0,627200,0,0,3200,0,78400,0,0.0,0.0
backbone.stages.1.op_list.0.main.inverted_conv.act,output,10035200,489145,627200,662,0,3200,0,78400,0,4.874292490433674,0.1055484693877551
backbone.stages.1.op_list.0.main.depth_conv.conv,input,10035200,489145,627200,662,0,3200,0,78400,0,4.874292490433674,0.1055484693877551
backbone.stages.1.op_list.0.main.depth_conv.conv,output,2508800,4474,156800,27,0,3200,0,19600,0,0.17833227040816327,0.01721938775510204
backbone.stages.1.op_list.0.main.depth_conv.norm,input,2508800,4474,156800,27,0,3200,0,19600,0,0.17833227040816327,0.01721938775510204
backbone.stages.1.op_list.0.main.depth_conv.norm,output,2508800,0,156800,0,0,3200,0,19600,0,0.0,0.0
backbone.stages.1.op_list.0.main.depth_conv.act,input,2508800,0,156800,0,0,3200,0,19600,0,0.0,0.0
backbone.stages.1.op_list.0.main.depth_conv.act,output,2508800,17734,156800,6,0,3200,0,19600,0,0.7068718112244898,0.003826530612244898
backbone.stages.1.op_list.0.main.point_conv.conv,input,2508800,17734,156800,6,0,3200,0,19600,0,0.7068718112244898,0.003826530612244898
backbone.stages.1.op_list.0.main.point_conv.conv,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.0.main.point_conv.norm,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.0.main.point_conv.norm,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.0,input,2508800,0,156800,0,0,800,0,78400,0,0.0,0.0
backbone.stages.1.op_list.0,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.inverted_conv.conv,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.inverted_conv.conv,output,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.inverted_conv.norm,input,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.inverted_conv.norm,output,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.inverted_conv.act,input,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
