module,elements,zeros,blocks,zero_blocks,block_tail_elements,zero_percent,output_filters,zero_output_filters
backbone.input_stem.op_list.0.conv,432,0,27,0,0,0.0,16,0
backbone.input_stem.op_list.1.main.depth_conv.conv,144,0,9,0,0,0.0,16,0
backbone.input_stem.op_list.1.main.point_conv.conv,256,0,16,0,0,0.0,16,0
backbone.stages.0.op_list.0.main.inverted_conv.conv,1024,0,64,0,0,0.0,64,0
backbone.stages.0.op_list.0.main.depth_conv.conv,576,0,36,0,0,0.0,64,0
backbone.stages.0.op_list.0.main.point_conv.conv,2048,0,128,0,0,0.0,32,0
backbone.stages.0.op_list.1.main.inverted_conv.conv,4096,0,256,0,0,0.0,128,0
backbone.stages.0.op_list.1.main.depth_conv.conv,1152,0,72,0,0,0.0,128,0
backbone.stages.0.op_list.1.main.point_conv.conv,4096,0,256,0,0,0.0,32,0
backbone.stages.1.op_list.0.main.inverted_conv.conv,4096,0,256,0,0,0.0,128,0
backbone.stages.1.op_list.0.main.depth_conv.conv,1152,0,72,0,0,0.0,128,0
backbone.stages.1.op_list.0.main.point_conv.conv,8192,0,512,0,0,0.0,64,0
backbone.stages.1.op_list.1.main.inverted_conv.conv,16384,0,1024,0,0,0.0,256,0
backbone.stages.1.op_list.1.main.depth_conv.conv,2304,0,144,0,0,0.0,256,0
backbone.stages.1.op_list.1.main.point_conv.conv,16384,0,1024,0,0,0.0,64,0
backbone.stages.1.op_list.2.main.inverted_conv.conv,16384,0,1024,0,0,0.0,256,0
backbone.stages.1.op_list.2.main.depth_conv.conv,2304,0,144,0,0,0.0,256,0
backbone.stages.1.op_list.2.main.point_conv.conv,16384,0,1024,0,0,0.0,64,0
backbone.stages.2.op_list.0.main.inverted_conv.conv,16384,0,1024,0,0,0.0,256,0
backbone.stages.2.op_list.0.main.depth_conv.conv,2304,0,144,0,0,0.0,256,0
backbone.stages.2.op_list.0.main.point_conv.conv,32768,0,2048,0,0,0.0,128,0
backbone.stages.2.op_list.1.context_module.main.qkv.conv,49152,0,3072,0,0,0.0,384,0
